,nu,gamma,F2 score,Accuracy,TNR
0,0.1,0.1,0.892149088025,0.879265091864,0
0,0.1,0.2,0.890136327185,0.900262467192,0
0,0.1,0.3,0.890136327185,0.900262467192,0
0,0.1,0.4,0.908,0.918635170604,0
0,0.1,0.5,0.898155573376,0.910761154856,0
0,0.1,0.6,0.881642512077,0.897637795276,0
0,0.1,0.7,0.861650485437,0.88188976378,0
0,0.1,0.8,0.875,0.892388451444,0
0,0.1,0.9,0.881642512077,0.897637795276,0
0,0.2,0.1,0.805396565822,0.832020997375,0
0,0.2,0.2,0.80737704918,0.839895013123,0
0,0.2,0.3,0.828571428571,0.858267716535,0
0,0.2,0.4,0.801150369762,0.837270341207,0
0,0.2,0.5,0.786008230453,0.821522309711,0
0,0.2,0.6,0.823817292007,0.850393700787,0
0,0.2,0.7,0.820408163265,0.847769028871,0
0,0.2,0.8,0.823817292007,0.850393700787,0
0,0.2,0.9,0.80737704918,0.839895013123,0
0,0.3,0.1,0.723244147157,0.776902887139,0
0,0.3,0.2,0.741049125729,0.790026246719,0
0,0.3,0.3,0.732217573222,0.790026246719,1
0,0.3,0.4,0.71608040201,0.771653543307,0
0,0.3,0.5,0.71608040201,0.771653543307,0
0,0.3,0.6,0.70889261745,0.766404199475,0
0,0.3,0.7,0.751661129568,0.797900262467,0
0,0.3,0.8,0.733944954128,0.784776902887,0
0,0.3,0.9,0.741049125729,0.790026246719,0
0,0.4,0.1,0.636752136752,0.719160104987,0
0,0.4,0.2,0.633561643836,0.719160104987,1
0,0.4,0.3,0.629820051414,0.716535433071,1
0,0.4,0.4,0.661577608142,0.732283464567,0
0,0.4,0.5,0.665254237288,0.734908136483,0
0,0.4,0.6,0.672588832487,0.740157480315,0
0,0.4,0.7,0.646808510638,0.721784776903,0
0,0.4,0.8,0.657894736842,0.729658792651,0
0,0.4,0.9,0.646808510638,0.721784776903,0
0,0.5,0.1,0.576256499133,0.677165354331,0
0,0.5,0.2,0.518453427065,0.640419947507,1
0,0.5,0.3,0.530236634531,0.648293963255,1
0,0.5,0.4,0.533683289589,0.648293963255,0
0,0.5,0.5,0.529772329247,0.645669291339,0
0,0.5,0.6,0.564726324935,0.669291338583,0
0,0.5,0.7,0.541484716157,0.653543307087,0
0,0.5,0.8,0.528846153846,0.640419947507,0
0,0.5,0.9,0.521015761821,0.635170603675,0
0,0.6,0.1,0.44235924933,0.590551181102,1
0,0.6,0.2,0.450490633363,0.595800524934,1
0,0.6,0.3,0.474290780142,0.608923884514,0
0,0.6,0.4,0.421524663677,0.574803149606,0
0,0.6,0.5,0.441964285714,0.587926509186,0
0,0.6,0.6,0.437890974084,0.58530183727,0
0,0.6,0.7,0.421524663677,0.574803149606,0
0,0.6,0.8,0.392599277978,0.556430446194,0
0,0.6,0.9,0.417414721724,0.57217847769,0
0,0.7,0.1,0.342465753425,0.527559055118,1
0,0.7,0.2,0.359417652411,0.538057742782,1
0,0.7,0.3,0.342465753425,0.527559055118,1
0,0.7,0.4,0.333943275389,0.522309711286,1
0,0.7,0.5,0.303867403315,0.503937007874,1
0,0.7,0.6,0.290858725762,0.496062992126,1
0,0.7,0.7,0.282146160962,0.490813648294,1
0,0.7,0.8,0.321100917431,0.514435695538,1
0,0.7,0.9,0.325389550871,0.517060367454,1
0,0.8,0.1,0.224719101124,0.456692913386,1
0,0.8,0.2,0.260223048327,0.477690288714,1
0,0.8,0.3,0.269016697588,0.482939632546,1
0,0.8,0.4,0.251396648045,0.472440944882,1
0,0.8,0.5,0.238095238095,0.464566929134,1
0,0.8,0.6,0.24697110904,0.469816272966,1
0,0.8,0.7,0.233644859813,0.461942257218,1
0,0.8,0.8,0.229186155285,0.459317585302,1
0,0.8,0.9,0.224719101124,0.456692913386,1
0,0.9,0.1,0.100864553314,0.385826771654,1
0,0.9,0.2,0.10556621881,0.38845144357,1
0,0.9,0.3,0.10556621881,0.38845144357,1
0,0.9,0.4,0.10556621881,0.38845144357,1
0,0.9,0.5,0.110258868648,0.391076115486,1
0,0.9,0.6,0.10556621881,0.38845144357,1
0,0.9,0.7,0.110258868648,0.391076115486,1
0,0.9,0.8,0.100864553314,0.385826771654,1
0,0.9,0.9,0.100864553314,0.385826771654,1
