global_ids,types,X,Y,Z,areas,ax1s,ax2s,gyrations,volumes,Rand,Rank,Train
1uDBQ9y7vCyxXlpVEuenQQ,IfcWallStandardCase,0.254,1.55100004,4.668,12.70098836,38.96504947,1.19742714,0.390311532,0.325958482,0.99938568511663,1,1
1fSPz2NmP4K9WVHrUZoUY8,IfcWallStandardCase,0.3,2.16664344,2.58,6.584916805,24.78581424,2.360743708,0.627185404,0.265672805,0.999128702744253,2,1
3Egy$LBd99weR14rW4btp_,IfcWallStandardCase,0.254,6.606085349,4.778,59.84039867,37.78611218,1.167764471,1.84934325,1.583661171,0.999045139688769,3,1
0tIhQ6hmz02e5gznEed4_U,IfcWallStandardCase,0.254,0.461000481,4.668,2.843032355,45.14748572,1.221811528,0.076940048,0.062972108,0.998322537372953,4,1
0gv$MiiG16nwMz1zOZ8L4c,IfcWallStandardCase,0.3,5.030023226,2.72,25.66575486,21.19620005,1.145814728,1.387427928,1.210865853,0.998148447051435,5,1
3Egy$LBd99weR14rW4bqgM,IfcWallStandardCase,0.368,2.212,4.668,20.156512,13.34642526,0.385918543,0.582835597,1.510255488,0.997663289947488,6,1
2wMrEQnZj0tx6ZcpbcsFGz,IfcWallStandardCase,7.675,0.35,2.8,32.28718658,15.50129705,1.098405265,2.287835375,2.08287,0.997488119083377,7,1
3NhaIUfh12PAdrGa$S3yh0,IfcWallStandardCase,0.324,10.56943563,4.778,95.27352865,16.87955669,0.516697359,2.916402457,5.644314622,0.99397847090508,8,1
3Egy$LBd99weR14rW4bmUv,IfcWallStandardCase,0.324,2.116,4.668,18.704608,17.62050117,0.522134195,0.554258664,1.061525312,0.993024724032187,9,2
3Egy$LBd99weR14rW4bt4f,IfcWallStandardCase,6.016,0.324,4.778,55.829008,16.90978321,0.508640091,1.679316131,3.301580352,0.992696385686775,10,2
0tIhQ6hmz02e5gznEedAdA,IfcWallStandardCase,0.254,0.606,2.7,2.343848,42.76314541,2.157165313,0.118234231,0.05481,0.991828065236354,11,2
3Egy$LBd99weR14rW4brgb,IfcWallStandardCase,0.368,0.492,4.668,4.208672,19.20170455,0.443689397,0.097248822,0.219182208,0.991800840447264,12,2
0bk1ZfURb7DB4FOIglu8fH,IfcWallStandardCase,2.956,0.324,4.668,26.419168,17.30234924,0.521571274,0.796393538,1.526912192,0.989817255206441,13,2
3Y4YRln2r91vflHcHE5IVJ,IfcWallStandardCase,0.254,1.3351,0.488,0.8075124,45.74344078,18.58292258,0.32804573,0.017653075,0.989286478139474,14,2
2d8HbdSu9Fr9Na0iagzNwL,IfcWallStandardCase,0.49,0.254,2.3054,1.4798352,44.88352702,2.582751119,0.085154761,0.032970564,0.988112055593003,15,2
302ypBJnbBJ9L8R5dWPcdO,IfcWallStandardCase,0.3,2.16664344,2.58,6.584916805,24.78581424,2.360743708,0.627185404,0.265672805,0.987642100020038,16,2
1qc5HjZvrCsga38tqxQ3CZ,IfcWallStandardCase,0.254,0.606,4.668,4.154408,42.41077299,1.207008344,0.118234231,0.097956432,0.98759593553824,17,2
2g$QZpOGbBUxSNx_ZgxJOk,IfcWallStandardCase,0.467,2.87,5.227,30.954378,8.637551976,0.216147351,0.774606836,3.58369803,0.985803648604891,18,2
3LbNSBzHHBSuzhUUvuwDo1,IfcWallStandardCase,6.161,0.324,4.668,52.4779,17.14705663,0.537006005,1.643485995,3.060461112,0.985302508326673,19,2
3NhaIUfh12PAdrGa$S3yAc,IfcWallStandardCase,0.324,1.876,4.778,13.52046,19.06183889,0.755063788,0.535562691,0.709294632,0.984832124613767,20,2
3Egy$LBd99weR14rW4bt6T,IfcWallStandardCase,0.324,1.435593384,4.778,9.030965626,21.29480338,0.888423654,0.376773776,0.424092464,0.984374288615245,21,2
3k2zEpWm12dhV9c2m$$NC2,IfcWallStandardCase,0.4,7.38,2.58,37.41437679,11.30145678,0.609680222,2.018395148,3.31058,0.984118805782784,22,2
3Egy$LBd99weR14rW4boI1,IfcWallStandardCase,0.324,1.130000693,4.668,9.649190367,18.72719586,0.525655247,0.270843942,0.515250144,0.98328544299734,23,2
3Egy$LBd99weR14rW4bfu5,IfcWallStandardCase,3.981,0.324,4.778,36.691868,17.09486485,0.508797924,1.092067496,2.146367832,0.983162985072919,24,2
3NhaIUfh12PAdrGa$S3zXe,IfcWallStandardCase,0.324,3.526,4.778,32.413048,17.16722717,0.508877815,0.960800534,1.888077072,0.983059234513876,25,2
3Egy$LBd99weR14rW4bpOG,IfcWallStandardCase,0.324,7.72,4.668,70.171744,16.84261728,0.521114985,2.171132116,4.16632064,0.982545494721235,26,2
2d8HbdSu9Fr9Na0iagzM6G,IfcWallStandardCase,0.254,0.636,4.778,4.533528,42.061065,1.176645112,0.126824025,0.107784432,0.98131922629346,27,2
0tIhQ6hmz02e5gznEed7Vr,IfcWallStandardCase,0.307,0.254,3.2,0.977556,56.39529249,1.996013158,0.034598892,0.017334,0.981207548351463,28,2
3Egy$LBd99weR14rW4bqpl,IfcWallStandardCase,0.324,8.506030691,4.668,70.63867386,17.15547124,0.573799914,2.362655297,4.117559516,0.980165912320088,29,2
2j55VthSj3Lu0J6fyrpKrI,IfcWallStandardCase,0.324,1.9145,4.668,16.854032,17.74318068,0.522405116,0.49622628,0.949887864,0.977118756367053,30,2
0bk1ZfURb7DB4FOIglu8sV,IfcWallStandardCase,2.832,0.324,4.668,25.280352,17.33653825,0.521622084,0.760635699,1.458212224,0.976814610146516,31,2
3LbNSBzHHBSuzhUUvuwF8b,IfcWallStandardCase,2.746,0.324,4.668,24.490528,17.36220579,0.521661763,0.735838071,1.410565472,0.976125680765498,32,2
2O2Fr$t4X7Zf8NOew3FNbT,IfcWallStandardCase,4.401,0.693,2.995,30.381646,5.248435763,0.210936013,1.221046341,5.788704935,0.975705768625586,33,2
2d8HbdSu9Fr9Na0iagze_k,IfcWallStandardCase,0.606,0.254,4.778,4.255608,42.40001741,1.178006396,0.118234231,0.100368072,0.975425235552402,34,2
3Y4YRln2r91vflHcHE5IVI,IfcWallStandardCase,1.2831,0.254,0.488,0.7719444,45.82803305,18.58498542,0.313052393,0.016844371,0.974363984316826,35,2
3Egy$LBd99weR14rW4bnKP,IfcWallStandardCase,0.58,0.254,4.668,3.919264,42.74782251,1.208492098,0.110798616,0.09168336,0.973464431968371,36,2
3NhaIUfh12PAdrGa$S3zt9,IfcWallStandardCase,0.324,5.737016315,4.778,49.82945742,17.1761424,0.564611342,1.637985769,2.901085485,0.973076030959353,37,2
2O2Fr$t4X7Zf8NOew3FKGS,IfcWallStandardCase,0.324,3.783,2.995,21.610714,17.40278722,0.833423615,1.034942229,1.24179614,0.972854770828657,38,2
3Egy$LBd99weR14rW4bpQ7,IfcWallStandardCase,0.324,1.91,4.668,13.436716,19.05184599,0.728311291,0.513656891,0.70527108,0.972687907724688,39,2
1VhuFNNWX7efxltD2ZAo93,IfcWallStandardCase,3.5495,0.467,4.77,34.843443,8.525377511,0.237332576,0.969984504,4.087026405,0.972294015803526,40,2
2O2Fr$t4X7Zf8NOew3FKRH,IfcWallStandardCase,0.75,2.4,2.995,18.05356,6.320808638,0.236016468,0.674112713,2.8562105,0.971131801702182,41,2
2j55VthSj3Lu0J6fyrpNIB,IfcWallStandardCase,0.254,0.606451851,4.668,4.158494536,42.40529665,1.206985032,0.118363531,0.098065451,0.970608005563698,42,2
0ayGa9swL6Jvmb9DQx3xKv,IfcWallStandardCase,2.039046059,0.467,3.108195686,13.23163872,9.265868678,0.375667851,0.53645281,1.427997653,0.969454259483034,43,2
0tIhQ6hmz02e5gznEed4qL,IfcWallStandardCase,0.381,0.254,3.2,1.429548,48.75342746,1.859558955,0.054525988,0.029322,0.96914774148476,44,2
3Egy$LBd99weR14rW4bpG3,IfcWallStandardCase,0.324,3.936,4.668,35.419488,17.11199174,0.52133107,1.07908418,2.069863552,0.968113102950653,45,2
1EcKPDDh59txcM_Dec3chA,IfcWallStandardCase,0.3,2.174976774,2.72,6.571911447,24.48787084,2.139579003,0.57420769,0.268374147,0.967651856855811,46,2
3Egy$LBd99weR14rW4bofD,IfcWallStandardCase,7.526,0.324,4.668,65.30930135,17.27496085,0.565532417,2.13803825,3.780575939,0.967498852379548,47,2
3LbNSBzHHBSuzhUUvuwARp,IfcWallStandardCase,0.467,40.77743871,5.337,424.5856816,8.118856127,0.221675784,11.59281091,52.29624407,0.966500534606546,48,2
1qc5HjZvrCsga38tqxQ3Tp,IfcWallStandardCase,0.254,0.54299911,4.668,3.584627955,43.31558352,1.21120871,0.100234887,0.082756081,0.966474394630822,49,2
0$rMYOZkXFwuJezLKdi2ev,IfcWallStandardCase,0.35,7.38,2.72,38.60934545,14.52932084,0.764038415,2.030309841,2.65734,0.965848087516658,50,2
0tIhQ6hmz02e5gznEed4ib,IfcWallStandardCase,0.327,0.254,3.2,1.099716,53.4517352,1.936337828,0.039838214,0.020574,0.965163211621266,51,2
3Egy$LBd99weR14rW4bqfO,IfcWallStandardCase,0.324,2.07,4.668,14.906156,18.77547781,0.67034501,0.532197763,0.7939162,0.964959247081659,52,2
3LbNSBzHHBSuzhUUvuwB1J,IfcWallStandardCase,1.857,0.467,4.1495,13.31685,10.86214643,0.446679759,0.547623565,1.225986971,0.959160098034251,53,2
3Egy$LBd99weR14rW4beCt,IfcWallStandardCase,3.801,0.324,4.778,28.247172,18.10786273,0.59745939,0.932000557,1.559939592,0.956866634065813,54,2
2d8HbdSu9Fr9Na0iagzeyJ,IfcWallStandardCase,0.543,0.254,4.778,3.671976,43.30481282,1.182105761,0.10023514,0.084793716,0.956761123003498,55,2
3Egy$LBd99weR14rW4brV3,IfcWallStandardCase,2.2276,0.368,4.668,20.3011552,13.33877733,0.385898063,0.587323432,1.521965222,0.956399047356938,56,2
2Xm8mTFlXE_vTXaS55sSoO,IfcWallStandardCase,1.8084,0.324,2.378,7.9452176,18.29077768,1.072053969,0.465682882,0.434383805,0.955243217500052,57,2
0tIhQ6hmz02e5gznEed4TR,IfcWallStandardCase,0.543,0.254,4.668,3.584636,43.3155684,1.211208634,0.10023514,0.082756296,0.955094441183845,58,2
0tIhQ6hmz02e5gznEed6Vm,IfcWallStandardCase,0.254,0.489,4.668,3.09626,44.40507984,1.217179005,0.084870981,0.069727608,0.954798201171034,59,2
3Egy$LBd99weR14rW4bemN,IfcWallStandardCase,3.009,0.324,4.778,27.55118,17.27790141,0.50901976,0.811678148,1.594590648,0.954669194351136,60,2
0tIhQ6hmz02e5gznEed4qr,IfcWallStandardCase,0.254,0.66,3.2,3.13368,42.05152979,1.794181506,0.133702406,0.07452,0.953221637925531,61,2
1bm9MoRXz26PSHtUizNpsU,IfcWallStandardCase,0.35,7.38,2.8,39.76808658,14.50490082,0.74052954,2.030309841,2.7417,0.951235978187955,62,2
2j55VthSj3Lu0J6fyrpGXk,IfcWallStandardCase,0.343,1.086,1.0785,2.061349,18.51995818,2.327639919,0.259076083,0.111304193,0.950789509745462,63,2
3oeO4lAA90puwFjDcYULES,IfcWallStandardCase,0.4,7.38,2.58,37.41437679,11.30145678,0.609680222,2.018395148,3.31058,0.950549637117347,64,2
3Egy$LBd99weR14rW4beUB,IfcWallStandardCase,0.324,1.639914652,4.778,14.67630138,17.95487547,0.510406652,0.417206005,0.81739923,0.950060458130874,65,2
2d8HbdSu9Fr9Na0iagzMPG,IfcWallStandardCase,0.254,0.981,4.88,7.899948,40.02520693,1.14499975,0.225993547,0.19737432,0.949604169152601,66,2
2xdK7kXpDFP9zz7pTKo2pV,IfcWallStandardCase,0.3,5.030023226,2.72,25.66575486,21.19620005,1.145814728,1.387427928,1.210865853,0.949497626431242,67,2
0bk1ZfURb7DB4FOIglu8bl,IfcWallStandardCase,4.694,0.324,4.668,39.004972,17.35331161,0.548051407,1.231853048,2.247696168,0.948476289586432,68,2
3Egy$LBd99weR14rW4bgzG,IfcWallStandardCase,3.679,0.324,4.778,33.85186,17.14078209,0.508847434,1.004938514,1.974930888,0.947844092015336,69,2
2zHTGgz0z9AhlqDQcPUrRU,IfcWallStandardCase,0.3,2.174976774,2.72,6.571911447,24.48787084,2.139579003,0.57420769,0.268374147,0.947066156446975,70,2
2j55VthSj3Lu0J6fyrpKqw,IfcWallStandardCase,2.2008,0.324,4.668,16.1074232,18.59156091,0.671508725,0.581784137,0.866383586,0.945282185586299,71,2
2j55VthSj3Lu0J6fyrpHcf,IfcWallStandardCase,0.254,7.23,4.778,65.620344,37.75840405,1.167757434,2.029446066,1.73790036,0.94521592058471,72,2
3Egy$LBd99weR14rW4broi,IfcWallStandardCase,0.549000123,0.324,4.668,4.313281128,22.30731684,0.552954929,0.106917837,0.193357236,0.943443667258268,73,2
1zlY19Z0zAMAFmQhXzysyH,IfcWallStandardCase,7.375,0.4,2.58,34.8102903,11.57430786,0.724342412,2.178494815,3.007548333,0.943168963203652,74,2
0ayGa9swL6Jvmb9DQx3wjk,IfcWallStandardCase,0.574953941,0.467,3.108195686,3.934080766,13.51233681,0.456395122,0.13287822,0.291147329,0.942946290081482,75,2
2d8HbdSu9Fr9Na0iagzNrZ,IfcWallStandardCase,0.489,0.254,4.778,3.17172,44.39432426,1.187932677,0.084870981,0.071444268,0.942920052013796,76,2
2d8HbdSu9Fr9Na0iagzNl3,IfcWallStandardCase,0.254,0.606,4.778,4.255608,42.40001741,1.178006396,0.118234231,0.100368072,0.940628737896913,77,2
2d8HbdSu9Fr9Na0iagzM3L,IfcWallStandardCase,0.606,0.254,4.778,4.255608,42.40001741,1.178006396,0.118234231,0.100368072,0.9377164640704,78,2
0tIhQ6hmz02e5gznEed5zq,IfcWallStandardCase,0.664,0.254,4.668,4.67896,41.79500944,1.204547102,0.134849299,0.111950208,0.93555548553259,79,2
2d8HbdSu9Fr9Na0iagzN3q,IfcWallStandardCase,0.489,0.254,4.778,3.17172,44.39432426,1.187932677,0.084870981,0.071444268,0.93544436142255,80,2
1aj$VJZFn2TxepZUBcKpvt,IfcWallStandardCase,1.724,0.324,3.1,7.34352,20.62608159,1.140683368,0.406118394,0.356030784,0.934864972803098,81,2
2d8HbdSu9Fr9Na0iagzMRO,IfcWallStandardCase,0.254,1.176,4.88,9.746208,39.51356779,1.144019623,0.28217784,0.24665472,0.934342748225001,82,2
3LbNSBzHHBSuzhUUvuwDh_,IfcWallStandardCase,4.702,0.324,4.668,39.078444,17.35178313,0.552347779,1.243958133,2.252128424,0.933575640408154,83,2
3Egy$LBd99weR14rW4bg63,IfcWallStandardCase,0.324,8.402,4.778,71.514976,17.14248102,0.559810792,2.335417801,4.171798464,0.932576542275104,84,2
0tIhQ6hmz02e5gznEed5rm,IfcWallStandardCase,0.254,0.482,4.668,3.032952,44.57686319,1.218210493,0.082885463,0.068038704,0.931988086453749,85,2
2m16QP_lnDRub3tR6yX3Bb,IfcWallStandardCase,0.35,7.38,2.8,39.76808658,14.50490082,0.74052954,2.030309841,2.7417,0.931431964858397,86,2
0tIhQ6hmz02e5gznEed49w,IfcWallStandardCase,0.254,7.812,4.668,69.325472,37.74740765,1.196501867,2.197450417,1.836562464,0.931194645977595,87,2
1uDBQ9y7vCyxXlpVEuenIv,IfcWallStandardCase,0.254,0.506,4.668,3.250008,44.02061232,1.214959114,0.089699498,0.073829232,0.930777952872725,88,2
3RYXc4Fq972AJ89gMUDqvE,IfcWallStandardCase,7.675,0.35,2.72,33.41724545,15.15645062,1.02043615,2.249878032,2.20482,0.93015602464373,89,2
3Egy$LBd99weR14rW4bqkN,IfcWallStandardCase,0.254,1.01,4.668,7.808184,39.95380041,1.199127639,0.234345898,0.19543032,0.930125195794085,90,2
3pms57Ad5AVAb74jf4yKeZ,IfcWallStandardCase,0.552,0.254,4.668,3.666032,43.16648279,1.210468978,0.102802399,0.084927744,0.930071415325293,91,2
3LbNSBzHHBSuzhUUvuwFU_,IfcWallStandardCase,1.29,0.324,4.668,11.118624,18.41152222,0.524404906,0.316685438,0.60389488,0.928959034488703,92,2
2wm7hePo58XgR6uMTw5R7c,IfcWallStandardCase,0.35,7.38,2.8,39.76808658,14.50490082,0.74052954,2.030309841,2.7417,0.927773912210218,93,2
0hHdEzezj4HAySpR8SmpqW,IfcWallStandardCase,7.675,0.4,2.58,38.28533131,11.46988565,0.641100991,2.139930998,3.3379,0.92723874900085,94,2
3Egy$LBd99weR14rW4bpo0,IfcWallStandardCase,0.516,0.324,4.668,4.010208,22.90577376,0.559724084,0.097993197,0.175074112,0.927095024377131,95,2
3Egy$LBd99weR14rW4bqMM,IfcWallStandardCase,2.492,0.324,4.668,22.157792,17.44926018,0.52180613,0.662610997,1.269841344,0.925867086987947,96,2
2d8HbdSu9Fr9Na0iagzNIO,IfcWallStandardCase,0.324,0.704,4.778,5.87496,20.53415822,0.523689317,0.149831016,0.286106688,0.925631068563316,97,2
3gfV3w5gb5_h3wVwi2rcKx,IfcWallStandardCase,0.3,2.124976774,2.8,6.655874578,24.61547051,2.657948327,0.718693177,0.270393961,0.924624965430774,98,2
3NhaIUfh12PAdrGa$S3xzd,IfcWallStandardCase,0.324,4.332,4.778,39.992672,17.04993136,0.508753458,1.193342644,2.345620704,0.923916663815733,99,2
1UFJzY4iHBuAc6DpK5_VXe,IfcWallStandardCase,7.375,0.375,2.72,31.98781631,13.49124793,0.996844357,2.363522954,2.371005,0.923562253635881,100,2
3Egy$LBd99weR14rW4belq,IfcWallStandardCase,0.324,7.3,4.778,64.527756,17.03321962,0.51842675,1.963980712,3.78834756,0.923284191432819,101,2
3LbNSBzHHBSuzhUUvuwCJ1,IfcWallStandardCase,2.19,0.324,4.668,19.384224,17.58168496,0.522054711,0.575577681,1.10252368,0.920717224951869,102,2
1uDBQ9y7vCyxXlpVEuenyp,IfcWallStandardCase,0.3375,0.254,4.668,1.726094,52.03011916,1.285433216,0.042644118,0.0331749,0.92011533636232,103,2
2d8HbdSu9Fr9Na0iagzees,IfcWallStandardCase,3.346,0.254,4.778,29.638968,38.10963694,1.167894993,0.908305749,0.777728952,0.919436715473771,104,2
3Egy$LBd99weR14rW4brPD,IfcWallStandardCase,3.593600732,0.324,4.668,32.27489312,17.16600435,0.521391867,0.980301906,1.880163401,0.91911223466075,105,2
1BWix8O3v3QflanMxiC41M,IfcWallStandardCase,0.35,7.38,2.8,39.76808658,14.50490082,0.74052954,2.030309841,2.7417,0.918235503607475,106,2
2d8HbdSu9Fr9Na0iagzes9,IfcWallStandardCase,0.416000201,0.254,4.778,2.495449866,46.73315966,1.203661236,0.064272912,0.053397842,0.918031374406396,107,2
0tIhQ6hmz02e5gznEed4AA,IfcWallStandardCase,0.254,1.281,4.668,10.259108,39.33480337,1.197963654,0.312446929,0.260815032,0.917844571124454,108,2
3Egy$LBd99weR14rW4bqVN,IfcWallStandardCase,0.951085966,0.951085966,4.668,10.18343083,19.59141074,0.530041839,0.275510757,0.519790584,0.916973586251463,109,2
3Egy$LBd99weR14rW4bqlE,IfcWallStandardCase,0.3975,0.254,4.668,2.268734,47.61124689,1.240388253,0.059106014,0.04765122,0.916961574184224,110,2
0tIhQ6hmz02e5gznEed52V,IfcWallStandardCase,0.254,0.605998071,3.2,2.803836219,42.62983548,1.797637909,0.118233679,0.065771688,0.915908180897143,111,2
3qpE7fVkr8dRZ2wfCc6tnB,IfcWallStandardCase,1.66999884,0.225,1.7,1.995246464,87.94491625,20.00485792,0.453859344,0.022687457,0.915739835761846,112,2
02aQNPF8nACBRGg8FWY_Am,IfcWallStandardCase,5.95,0.375,2.8,28.127,13.04168405,0.844732676,1.821834962,2.1567,0.91444199319149,113,2
2d8HbdSu9Fr9Na0iagzMvy,IfcWallStandardCase,0.254,0.523334331,4.88,3.566769446,43.64993539,1.158093341,0.094631342,0.081713052,0.913908420430236,114,2
0bk1ZfURb7DB4FOIglu8o2,IfcWallStandardCase,0.254,0.514,4.668,3.32236,43.85409136,1.214035809,0.091974634,0.075759408,0.913452349702254,115,2
2d8HbdSu9Fr9Na0iagzLE6,IfcWallStandardCase,0.606,0.254,4.88,4.349448,42.39049584,1.152331898,0.118234231,0.10260432,0.913296254395301,116,2
1uDBQ9y7vCyxXlpVEuenRM,IfcWallStandardCase,0.742,0.254,4.668,5.384392,41.17470151,1.202395387,0.157236552,0.130769424,0.912609739285337,117,2
3pfblLrijBK9SIMbDz6WH5,IfcWallStandardCase,0.35,7.38,2.72,38.60934545,14.52932084,0.764038415,2.030309841,2.65734,0.911468203437046,118,2
1uDBQ9y7vCyxXlpVEuen0w,IfcWallStandardCase,0.972002498,0.254,4.668,7.46453459,40.0753298,1.199395188,0.22340245,0.186262587,0.911023231280162,119,2
2d8HbdSu9Fr9Na0iagzMnt,IfcWallStandardCase,0.254,0.523334331,4.88,3.566769446,43.64993539,1.158093341,0.094631342,0.081713052,0.910714437538797,120,2
2d8HbdSu9Fr9Na0iagzeYj,IfcWallStandardCase,0.489,0.254,4.778,3.17172,44.39432426,1.187932677,0.084870981,0.071444268,0.90992452308661,121,2
1DiPUS2Un4zwxPBSKoUab5,IfcWallStandardCase,0.35,7.38,2.72,38.60934545,14.52932084,0.764038415,2.030309841,2.65734,0.909776460445915,122,2
0tIhQ6hmz02e5gznEed43R,IfcWallStandardCase,12.84,0.324,4.668,107.06586,17.05795651,0.59395475,3.728012561,6.27659356,0.909045584679434,123,2
0EYqnm5d9EXvHtTjZCTfaj,IfcWallStandardCase,7.675,0.35,2.8,32.28718658,15.50129705,1.098405265,2.287835375,2.08287,0.907785492567606,124,2
2d8HbdSu9Fr9Na0iagzMPy,IfcWallStandardCase,0.64,0.254,4.88,4.66758,45.60339067,1.177328535,0.120501459,0.1023516,0.906888837573787,125,2
3LbNSBzHHBSuzhUUvuwFPO,IfcWallStandardCase,0.324,4.122451851,4.668,37.1318618,17.08654499,0.521304448,1.132879977,2.173163844,0.90643239807578,126,2
2j55VthSj3Lu0J6fyrpG09,IfcWallStandardCase,0.811,0.324,4.88,7.031128,19.82970511,0.507582012,0.179976156,0.35457552,0.905043022088951,127,2
3LbNSBzHHBSuzhUUvuwDJl,IfcWallStandardCase,0.324,4.405000352,4.668,39.72678724,17.05228405,0.52127065,1.214406713,2.329704755,0.904875908298784,128,2
3LbNSBzHHBSuzhUUvuwBTv,IfcWallStandardCase,0.467,2.017,4.1495,14.66613,10.5155438,0.422466958,0.589218727,1.394709611,0.904214976946854,129,2
1qc5HjZvrCsga38tqxQ3sc,IfcWallStandardCase,0.499,0.254,4.668,3.1867,44.17362782,1.215827902,0.087710224,0.072140328,0.903521615671762,130,2
3LbNSBzHHBSuzhUUvuwCWA,IfcWallStandardCase,0.324,1.717,4.668,15.040192,17.89505139,0.522781927,0.439380719,0.840466544,0.89908808918855,131,2
3NhaIUfh12PAdrGa$S3yyL,IfcWallStandardCase,0.324,0.43,4.778,3.298264,25.26155643,0.577720931,0.075429879,0.13056456,0.898013561535254,132,2
0tIhQ6hmz02e5gznEed4N9,IfcWallStandardCase,5.8705,0.324,4.668,46.43396,17.47351328,0.656844212,1.745492014,2.657391176,0.897372896873001,133,2
1qc5HjZvrCsga38tqxQ3nV,IfcWallStandardCase,0.324,14.544,4.668,119.6346493,17.23245878,0.59879522,4.157076893,6.942401595,0.896928177983959,134,2
0ACdZ_0kX5qAdvJsbzS05A,IfcWallStandardCase,0.3,2.16664344,2.58,6.584916805,24.78581424,2.360743708,0.627185404,0.265672805,0.896681163836014,135,2
0penLFwvv2QBPM5QOZh6vt,IfcWallStandardCase,0.3,2.124976774,2.8,6.655874578,24.61547051,2.657948327,0.718693177,0.270393961,0.896169771987496,136,2
3NhaIUfh12PAdrGa$S3y2v,IfcWallStandardCase,0.324,5.648,4.778,52.368336,16.93301145,0.508656229,1.573109447,3.092677056,0.89562327954358,137,2
0tIhQ6hmz02e5gznEed5fv,IfcWallStandardCase,0.489,0.254,4.668,3.09626,44.40507984,1.217179005,0.084870981,0.069727608,0.895404817814111,138,2
3Egy$LBd99weR14rW4btfN,IfcWallStandardCase,0.324,3.52456129,4.778,32.39951837,17.16748739,0.50887812,0.960385503,1.887260356,0.89515159873352,139,2
1eX7v67Qv3QewIWlXidFoS,IfcWallStandardCase,0.3,2.12,2.8,10.888,21.81089744,1.111793885,0.555007507,0.4992,0.894378855105881,140,2
3LbNSBzHHBSuzhUUvuwFhT,IfcWallStandardCase,15.461,0.324,4.668,127.761136,17.06533598,0.593671484,4.444573684,7.486587792,0.890624568093753,141,2
3Y4YRln2r91vflHcHE5IVT,IfcWallStandardCase,0.254,1.3351,0.488,0.8075124,45.74344078,18.58292258,0.32804573,0.017653075,0.890617087793603,142,2
3LbNSBzHHBSuzhUUvuwFp2,IfcWallStandardCase,0.550000847,0.324,4.668,4.322471782,22.29093171,0.55277794,0.107190093,0.193911669,0.890451856041153,143,2
3LbNSBzHHBSuzhUUvuwCiE,IfcWallStandardCase,0.575,0.324,4.668,4.552064,21.90999317,0.548790963,0.114017908,0.207762,0.88979510185441,144,2
0ayGa9swL6Jvmb9DQx3wji,IfcWallStandardCase,2.306046059,0.467,3.108195686,14.92719322,9.127995183,0.374745878,0.612829435,1.635320015,0.888677270312052,145,2
2d8HbdSu9Fr9Na0iagzMJK,IfcWallStandardCase,0.606,0.254,4.88,4.349448,42.39049584,1.152331898,0.118234231,0.10260432,0.888516638298374,146,2
2g$QZpOGbBUxSNx_ZgxJf0,IfcWallStandardCase,0.543,0.254,4.668,3.584636,43.3155684,1.211208634,0.10023514,0.082756296,0.88622630622332,147,2
3pms57Ad5AVAb74jf4yKlH,IfcWallStandardCase,0.254,0.606,4.668,4.154408,42.41077299,1.207008344,0.118234231,0.097956432,0.885512583087202,148,2
2d8HbdSu9Fr9Na0iagzeI6,IfcWallStandardCase,0.731975,0.254,4.778,5.4226404,41.2334842,1.173723665,0.154357108,0.131510604,0.885138671938102,149,2
0tIhQ6hmz02e5gznEed5r3,IfcWallStandardCase,0.553,0.254,4.668,3.675076,43.15038699,1.210390241,0.103087746,0.085169016,0.884990330862002,150,2
3LbNSBzHHBSuzhUUvuwF3G,IfcWallStandardCase,1.717,0.324,4.668,15.040192,17.89505139,0.522781927,0.439380719,0.840466544,0.878100706334304,151,2
3NhaIUfh12PAdrGa$S3ypg,IfcWallStandardCase,0.324,3.498,4.778,32.149736,17.17233239,0.508883837,0.95272329,1.872182256,0.877868201946399,152,2
1uDBQ9y7vCyxXlpVEuenoS,IfcWallStandardCase,2.166,0.254,4.668,18.263048,38.50195861,1.196923004,0.567749358,0.474340752,0.877422804199263,153,2
3Egy$LBd99weR14rW4brSx,IfcWallStandardCase,0.324,0.527728221,4.668,4.117919983,22.6792774,0.557092949,0.101152437,0.181571922,0.875788186928285,154,2
3LbNSBzHHBSuzhUUvuwFXR,IfcWallStandardCase,4.759893078,0.254,4.668,41.38870814,46.71807293,1.263987481,1.119798092,0.885924987,0.87342869239818,155,2
2j55VthSj3Lu0J6fyrpHlw,IfcWallStandardCase,4.920025,0.324,2.48,23.2593202,17.42995181,1.021416011,1.363023967,1.334445468,0.871486173711989,156,2
0tIhQ6hmz02e5gznEed5Yz,IfcWallStandardCase,4.694,0.324,4.668,39.004972,17.35331161,0.551906758,1.240518705,2.247696168,0.869350695801259,157,2
2d8HbdSu9Fr9Na0iagzN3Y,IfcWallStandardCase,0.254,4.5148,4.778,40.4667312,37.93742994,1.16781443,1.245673012,1.066670338,0.86792315717015,158,2
2d8HbdSu9Fr9Na0iagzMIP,IfcWallStandardCase,0.552,0.254,4.88,3.838176,43.14620565,1.155635768,0.102802399,0.08895744,0.867306956727097,159,2
3qpE7fVkr8dRZ2wfCc6tS_,IfcWallStandardCase,1.674999609,0.225,1.7,4.573748808,82.6892659,7.699109228,0.425856866,0.055312485,0.866823734684782,160,2
3Egy$LBd99weR14rW4br7V,IfcWallStandardCase,1.977,0.467,4.668,15.146698,10.63109961,0.402379796,0.573292083,1.424753652,0.866682025001036,161,2
