global_ids,types,X,Y,Z,areas,ax1s,ax2s,gyrations,volumes,Rand,Rank,Train
3Egy$LBd99weR14rW4bru4,IfcWallStandardCase,7.289,0.324,4.668,59.461464,17.26881574,0.62432718,2.149736768,3.443285568,0.694022653719936,403,2
0tIhQ6hmz02e5gznEed4yF,IfcWallStandardCase,0.633,0.254,4.668,4.398596,42.10360226,1.205740172,0.125964611,0.104470776,0.693890616029119,404,2
3Egy$LBd99weR14rW4bt$Z,IfcWallStandardCase,0.324,3.52456129,4.778,32.39951837,17.16748739,0.50887812,0.960385503,1.887260356,0.693437897907882,405,2
0tIhQ6hmz02e5gznEedAdB,IfcWallStandardCase,0.361,0.254,3.2,1.307388,50.12606395,1.879505172,0.049021254,0.026082,0.692918182842975,406,2
1qc5HjZvrCsga38tqxQ30a,IfcWallStandardCase,0.606,0.254,4.668,4.154408,42.41077299,1.207008344,0.118234231,0.097956432,0.69175982713356,407,2
3NhaIUfh12PAdrGa$S3ziK,IfcWallStandardCase,1.08,0.324,4.778,9.410864,18.83863153,0.513548183,0.256543693,0.49955136,0.691743132729964,408,2
2d8HbdSu9Fr9Na0iagzeWM,IfcWallStandardCase,0.489,0.254,4.778,3.17172,44.39432426,1.187932677,0.084870981,0.071444268,0.690664096613147,409,2
3NhaIUfh12PAdrGa$S3zCJ,IfcWallStandardCase,0.536,0.254,4.778,3.607128,43.42628999,1.182707449,0.098239503,0.083063232,0.689531969190624,410,2
2Ynk$BaAz6sA1QNF3FzSDF,IfcWallStandardCase,1.837708286,6.878359876,0.868,10.74462979,19.50597091,3.38466684,1.864403075,0.550837989,0.688977208875016,411,2
3Egy$LBd99weR14rW4boRx,IfcWallStandardCase,1.536,0.254,4.668,12.565328,38.9816706,1.197448705,0.385984887,0.322339392,0.688931799382325,412,2
1fvMW$7wTDaRBUyIH3nfc1,IfcWallStandardCase,7.375,0.375,2.72,31.98781631,13.49124793,0.996844357,2.363522954,2.371005,0.688731477801534,413,2
3LbNSBzHHBSuzhUUvuwFDy,IfcWallStandardCase,1.893,0.324,4.668,13.280588,19.08534828,0.732485155,0.509701653,0.695852536,0.687720333688954,414,2
3LbNSBzHHBSuzhUUvuwFxs,IfcWallStandardCase,0.324,4.122,4.668,37.127712,17.08660374,0.521304508,1.132749605,2.172913504,0.687448319457076,415,2
3Egy$LBd99weR14rW4beyi,IfcWallStandardCase,4.85772661,0.254,3.5665,32.22708974,38.06051988,1.588057355,1.344660216,0.846732778,0.687365720879051,416,2
3Egy$LBd99weR14rW4bg4I,IfcWallStandardCase,0.324,1.94443871,4.778,14.16405763,18.9322265,0.706338001,0.528443506,0.748145372,0.684529411369334,417,2
3NhaIUfh12PAdrGa$S3xqK,IfcWallStandardCase,4.002,0.324,4.778,36.889352,17.09194318,0.508794913,1.098126435,2.158288944,0.683595083748706,418,2
3Egy$LBd99weR14rW4btxe,IfcWallStandardCase,4.459,0.324,4.778,37.810992,17.37963841,0.592157981,1.288293815,2.175591408,0.682663781004321,419,2
