global_ids,types,X,Y,Z,areas,gyrations,volumes,ax1s,ax2s
0otfaO0qPDAhynjJ6DmgKt,IfcWindow,0.467,1.2,1.935,7.183156,0.391513745,0.068159298,105.3877638,5.744098845
2g$QZpOGbBUxSNx_ZgxJoj,IfcWindow,0.467,1.2,1.935,7.183156,0.391513745,0.068159298,105.3877638,5.744098845
1hOSvn6df7F8_7GcBWlSp1,IfcWindow,1.019,0.617,0.959,4.25305924,0.330322653,0.048861284,87.04354278,6.760417
3qpE7fVkr8dRZ2wfCc6tWA,IfcDoor,0.225,1.065,1.7,2.71325,0.24980826,0.0324375,83.64547206,7.701218029
35QeWibpT4DfyH3NIf2mVx,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
35QeWibpT4DfyH3NIf2nTY,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
25Lx$wIdHFAhVEMjnrwrs9,IfcWindow,1.415,0.32,1.68,5.3669,0.44207506,0.056107,95.65473114,7.879142714
1hOSvn6df7F8_7GcBWlSXO,IfcWindow,3,0.617,2.61,23.751856,1.01580199,0.221796648,107.0884353,4.57987981
1byTDaqS91rBnWJlv$n$uh,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
2b9an2$8n5XB5eK3hCqj$A,IfcDoor,1.21,0.32,2.8,8.2634,0.329471078,0.16746,49.34551535,1.967461349
1sq3ZCKcn6Q9Qy3oJcjS6Q,IfcRailing,2.385,0.435,1.1175,2.227782366,0.82537973,0.013959764,159.5859627,59.12562231
2cz_Oqyof4R8qhyckBhTrP,IfcDoor,1.085,0.32,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018
35QeWibpT4DfyH3NIf2o7X,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
3QNfcVy3L7Kwu54LY_so2d,IfcDoor,0.32,1.085,2.33,6.2534,0.290543469,0.1240225,50.4214961,2.342667414
1byTDaqS91rBnWJlv$n$Qk,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
0RLwbjSzj0u9QH55sCnSRT,IfcDoor,2.19,0.32,2.72,13.7388,0.622670396,0.29182,47.07970667,2.133748187
