global_ids,types,X,Y,Z,areas,gyrations,volumes,ax1s,ax2s,Rand,Rank,Train
1byTDaqS91rBnWJlv$n$Zq,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.901447186171924,39,2
1byTDaqS91rBnWJlv$n$GX,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.897042412939035,40,2
3I3m6VKvr5Ax3aIfvw4WF5,IfcDoor,2.19,0.32,2.72,13.7388,0.622670396,0.29182,47.07970667,2.133748187,0.894017632701411,41,2
1XDak$XfD6EgU4WfRG3PW2,IfcDoor,2.19,0.32,2.72,13.7388,0.622670396,0.29182,47.07970667,2.133748187,0.892299266090269,42,2
1E3qLP3bvBYfctv8gQnAjO,IfcDoor,2.19,0.32,2.72,13.7388,0.622670396,0.29182,47.07970667,2.133748187,0.886710738450681,43,2
0RZRzx31HAjQsFNl12CNaR,IfcDoor,0.32,1.085,2.33,6.2534,0.290543469,0.1240225,50.4214961,2.342667414,0.87713262066596,44,2
1byTDaqS91rBnWJlv$nnHw,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.87265167672049,45,2
1aj$VJZFn2TxepZUBcKp$i,IfcDoor,1.114,0.374,2.308,5.400468,0.265980739,0.097883984,55.17213112,2.717306024,0.87009084835714,46,2
1hOSvn6df7F8_7GcBWlSDm,IfcDoor,1.216,0.374,2.308,5.866608,0.294963595,0.108842048,53.90019857,2.710015116,0.866577528451899,47,2
1i9qyzPSX9HgDyUND9oE5r,IfcDoor,1.085,0.32,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018,0.860084504953949,48,2
0mxk1RW8H5mvX1dNnpRqn4,IfcDoor,2.182,0.517,2.41,10.965036,0.574538948,0.22291622,49.1890451,2.577376144,0.857605730913051,49,2
35QeWibpT4DfyH3NIf2sJ8,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.855999942956856,50,2
1byTDaqS91rBnWJlv$nnW1,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.850105089012241,51,2
1byTDaqS91rBnWJlv$nm9F,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.849927496091354,52,2
35QeWibpT4DfyH3NIf2nSp,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.846878896311047,53,2
1Z3ORnu413Pvme3YFTDFKx,IfcDoor,0.32,1.085,2.8,7.5459,0.290976641,0.15046,50.15219992,1.933913606,0.844832033420907,54,2
1byTDaqS91rBnWJlv$nmTD,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.843954464673415,55,2
35QeWibpT4DfyH3NIf2nYS,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.840847502545327,56,2
35QeWibpT4DfyH3NIf2oDt,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.839655742758914,57,2
1byTDaqS91rBnWJlv$nmnC,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.83933474685108,58,2
1byTDaqS91rBnWJlv$nms7,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.83921700709325,59,2
1byTDaqS91rBnWJlv$nnU$,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.835407043768608,60,2
35QeWibpT4DfyH3NIf2n$O,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.833428789368381,61,2
1byTDaqS91rBnWJlv$nmLC,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.832954955814804,62,2
1YpFJa4wz0QOrryLkEHU0u,IfcDoor,0.32,1.085,2.33,6.2534,0.290543469,0.1240225,50.4214961,2.342667414,0.828546909061811,63,2
1byTDaqS91rBnWJlv$nncb,IfcDoor,1.267,0.517,2.41,6.379158,0.316067497,0.11985611,53.22346938,2.637057858,0.828067796906287,64,2
3eIXtbz01CQuZOCQ8qhuxf,IfcDoor,2.902,0.245999999,2.162000012,12.53887856,0.804874549,0.059765163,209.802467,13.46728619,0.826302036868253,65,2
1byTDaqS91rBnWJlv$n$_5,IfcDoor,0.374,1.352,2.41,6.784948,0.333758268,0.12943,52.42175693,2.578677803,0.824510797123102,66,2
35QeWibpT4DfyH3NIf2nVW,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.815786545902024,67,2
1byTDaqS91rBnWJlv$nmpw,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.815339331583638,68,2
06YhaePu15_xbXxglbbuPt,IfcDoor,1.21,0.32,2.8,8.2634,0.329471078,0.16746,49.34551535,1.967461349,0.814649907482004,69,2
35QeWibpT4DfyH3NIf2sUZ,IfcDoor,0.374,2.182,2.41,10.965036,0.572216562,0.22291622,49.1890451,2.566957945,0.813943953112504,70,2
1byTDaqS91rBnWJlv$n$sW,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.810962377368731,71,2
2NoH25yv90exA9jaVK3jRb,IfcDoor,1.085,0.32,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018,0.810090582555569,72,2
0kRWKxi_L8IgM5pxQ3Afs3,IfcDoor,1.21,0.32,2.8,8.2634,0.329471078,0.16746,49.34551535,1.967461349,0.805368853205264,73,2
35QeWibpT4DfyH3NIf2n6z,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.802377091876893,74,2
35QeWibpT4DfyH3NIf2nNu,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.797979795192351,75,2
2OBrcmyk58NupXoVOHUvVV,IfcDoor,1.216,0.374,2.308,5.866608,0.294963595,0.108842048,53.90019857,2.710015116,0.794912447110799,76,2
1byTDaqS91rBnWJlv$n$gx,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.791358531468984,77,2
35QeWibpT4DfyH3NIf2mOc,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.790875860792284,78,2
1byTDaqS91rBnWJlv$n$Db,IfcDoor,0.517,1.267,2.41,6.379158,0.316067497,0.11985611,53.22346938,2.637057858,0.788892100698156,79,2
1byTDaqS91rBnWJlv$nmoB,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.787176288873027,80,2
1byTDaqS91rBnWJlv$n$f7,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.781160922372417,81,2
