global_ids,types,X,Y,Z,areas,gyrations,volumes,ax1s,ax2s,Rand,Rank,Train
1byTDaqS91rBnWJlv$n$m2,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.518359282860918,170,2
35QeWibpT4DfyH3NIf2ojX,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.510650503794648,171,2
1hOSvn6df7F8_7GcBWlS8Z,IfcDoor,0.374,1.114,2.308,5.400468,0.265980739,0.097883984,55.17213112,2.717306024,0.50986203357817,172,2
2o4U8gTozCSR$4hVAQrqML,IfcDoor,1.21,0.32,2.8,8.2634,0.329471078,0.16746,49.34551535,1.967461349,0.508910230725618,173,2
1byTDaqS91rBnWJlv$n$wG,IfcDoor,0.374,1.572,2.41,7.835228,0.396781677,0.15420948,50.80899047,2.57300444,0.507475594472913,174,2
1aZE7fjF18ovAeU9YcW3co,IfcDoor,0.32,1.085,2.33,6.2534,0.290543469,0.1240225,50.4214961,2.342667414,0.50728260720686,175,2
35QeWibpT4DfyH3NIf2o5b,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.506424941775866,176,2
0mxk1RW8H5mvX1dNnpRqtX,IfcDoor,1.267,0.517,2.41,6.379158,0.316067497,0.11985611,53.22346938,2.637057858,0.503057726404929,177,2
35QeWibpT4DfyH3NIf2ovI,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.501728429467533,178,2
1byTDaqS91rBnWJlv$nnE_,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.501025857553509,179,2
1byTDaqS91rBnWJlv$nmCV,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.494827868692637,180,2
35QeWibpT4DfyH3NIf2nk$,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.49449143831543,181,2
1byTDaqS91rBnWJlv$nmxs,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.493908347665638,182,2
35QeWibpT4DfyH3NIf2o03,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.492113223379702,183,2
0jXjAQGd97WhhGteTco3Tc,IfcDoor,1.21,0.32,2.8,8.2634,0.329471078,0.16746,49.34551535,1.967461349,0.483365715694594,184,2
35QeWibpT4DfyH3NIf2olL,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.480306265929545,185,2
35QeWibpT4DfyH3NIf2nTY,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.479062380354923,186,2
3LrM6K8GbDJQd70IrWqHee,IfcDoor,1.085,0.32,2.33,6.2534,0.290543469,0.1240225,50.4214961,2.342667414,0.472637037858205,187,2
1byTDaqS91rBnWJlv$n$Ex,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.472599500478218,188,2
1M__5GxAz3ZQ0MDu9qSzkt,IfcDoor,1.085,0.32,2.33,6.2534,0.290543469,0.1240225,50.4214961,2.342667414,0.470531584156241,189,2
2YpUWhjlDDpQ88nr_wiwRo,IfcDoor,0.32,1.085,2.8,7.5459,0.290976641,0.15046,50.15219992,1.933913605,0.468964929308952,190,2
215i6zgNzExvVdsC0sC0TE,IfcDoor,1.085,0.32,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018,0.465910716836427,191,2
1byTDaqS91rBnWJlv$nmAj,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.456690058711564,192,2
1byTDaqS91rBnWJlv$n$H4,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.456673070158182,193,2
1LqCWLMwn5ChxXeBbnR8qY,IfcDoor,2.19,0.32,2.72,13.7388,0.622670396,0.29182,47.07970667,2.133748187,0.4560581294837,194,2
35QeWibpT4DfyH3NIf2mVx,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.455043359960239,195,2
1byTDaqS91rBnWJlv$nmJJ,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.454590423111481,196,2
1byTDaqS91rBnWJlv$n$e0,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.447258250441965,197,2
1oCmeD_UH0NAQ13DTKAKXn,IfcDoor,0.3143,1.1010006,2.525,4.346431765,0.262675542,0.02719423,159.8291932,9.659238235,0.446208123849113,198,2
35QeWibpT4DfyH3NIf2ogt,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.439237800202935,199,2
35QeWibpT4DfyH3NIf2nWf,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.43903757279387,200,2
0Rlx3kx553$AgdhE2zVvQK,IfcDoor,1.085,0.32,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018,0.437443350441461,201,2
3qpE7fVkr8dRZ2wfCc6tsf,IfcDoor,1.065,0.225,1.7,2.71325,0.24980826,0.0324375,83.64547206,7.701218029,0.434490209088381,202,2
1qc5HjZvrCsga38tqxQ3VC,IfcDoor,0.374,2.082,2.41,10.487636,0.543419321,0.21165282,49.55112812,2.567503333,0.419530739501673,203,2
1byTDaqS91rBnWJlv$nnC3,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.413075971590887,204,2
3qpE7fVkr8dRZ2wfCc6tut,IfcDoor,0.225,1.065,1.7,2.71325,0.24980826,0.0324375,83.64547206,7.701218029,0.412281236783957,205,2
1s1jVhK8z0pgKYcr9jt781,IfcDoor,1.165,0.667,2.696,6.9415335,0.383801683,0.06214232,111.7038027,6.176172381,0.408991451367313,206,2
1byTDaqS91rBnWJlv$nndY,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.405688441062477,207,2
2CiKYfhMH7XAaCZdiBlh1x,IfcDoor,1.085,0.32,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018,0.404616973901633,208,2
1byTDaqS91rBnWJlv$nn72,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.403134584277396,209,2
35QeWibpT4DfyH3NIf2nIt,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.400105329806269,210,2
1hOSvn6df7F8_7GcBWlSFK,IfcDoor,1.216,0.374,2.308,5.866608,0.294963595,0.108842048,53.90019857,2.710015116,0.399304361282404,211,2
1byTDaqS91rBnWJlv$n$WN,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.397309450868857,212,2
35QeWibpT4DfyH3NIf2sGN,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.397260572912994,213,2
1byTDaqS91rBnWJlv$n$Kj,IfcDoor,0.517,1.267,2.41,6.379158,0.316067497,0.11985611,53.22346938,2.637057858,0.396160197769241,214,2
3qpE7fVkr8dRZ2wfCc6tjC,IfcDoor,0.225,1.065,1.7,2.71325,0.24980826,0.0324375,83.64547206,7.701218029,0.395731426634671,215,2
1byTDaqS91rBnWJlv$nmQZ,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.39521106090044,216,2
1byTDaqS91rBnWJlv$nn_r,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.392800820301729,217,2
1byTDaqS91rBnWJlv$n$nD,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.388694497243477,218,2
1l4CMjIZ1FcByDbvqjoVd8,IfcDoor,2.19,0.32,2.72,13.7388,0.622670396,0.29182,47.07970667,2.133748187,0.38732685040502,219,2
0$IaQBYBr3Pw6T1KvIRRPa,IfcDoor,2.19,0.32,2.72,13.7388,0.622670396,0.29182,47.07970667,2.133748187,0.372045348388438,220,2
35QeWibpT4DfyH3NIf2ohQ,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.369714708762104,221,2
2OBrcmyk58NupXoVOHUvPL,IfcDoor,0.374,1.216,2.308,5.866608,0.294963595,0.108842048,53.90019857,2.710015116,0.363268360053014,222,2
1byTDaqS91rBnWJlv$n$TS,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.362567769220065,223,2
35QeWibpT4DfyH3NIf2n4J,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.359849778633753,224,2
0kDw6Y$0n51e0nbpL5AKHs,IfcDoor,2.19,0.32,2.8,14.1436,0.622773922,0.30074,47.02932766,2.070805088,0.359831364927293,225,2
35QeWibpT4DfyH3NIf2n1I,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.358911475685068,226,2
1byTDaqS91rBnWJlv$nmW0,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.356829615858373,227,2
1byTDaqS91rBnWJlv$nnkx,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.354918172648871,228,2
1byTDaqS91rBnWJlv$n$Rv,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.354056368169394,229,2
1byTDaqS91rBnWJlv$nnQb,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.353889913725034,230,2
1byTDaqS91rBnWJlv$n$iu,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.353502960810354,231,2
1byTDaqS91rBnWJlv$n$CQ,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.353194395214242,232,2
1byTDaqS91rBnWJlv$nnSA,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.349532171744281,233,2
347$SAr5P0Tgy$4MRA8fPq,IfcDoor,0.32,1.085,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018,0.348878583611931,234,2
1I_Rp6d3j27fE7zFUMgaqf,IfcDoor,2.902,0.245999999,2.162000012,12.53887856,0.804874549,0.059765163,209.802467,13.46728619,0.342414647110929,235,2
1byTDaqS91rBnWJlv$nmj8,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.341140692227847,236,2
35QeWibpT4DfyH3NIf2n25,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.334965990600192,237,2
1byTDaqS91rBnWJlv$nmMw,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.334751759839151,238,2
1OlyrqS6r8JQAN1mOyoyYV,IfcDoor,1.085,0.32,2.33,6.2534,0.290543469,0.1240225,50.4214961,2.342667414,0.333384483924008,239,2
1byTDaqS91rBnWJlv$n$Ls,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.332150326780976,240,2
3vrTMqxmj8dxP6xSXJOWeo,IfcDoor,2.19,0.32,2.72,13.7388,0.622670396,0.29182,47.07970667,2.133748187,0.331451213922145,241,2
0vXoO5Zpv3Mx5AM3AH5omQ,IfcDoor,2.19,0.32,2.72,13.7388,0.622670396,0.29182,47.07970667,2.133748187,0.329479862221205,242,2
35QeWibpT4DfyH3NIf2nvC,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.326893005502097,243,2
35QeWibpT4DfyH3NIf2oXr,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.325599312740829,244,2
0gJqgM_uD3HhjzBFQCliSP,IfcDoor,2.19,0.32,2.72,13.7388,0.622670396,0.29182,47.07970667,2.133748187,0.322109677563882,245,2
1I_Rp6d3j27fE7zFUMgaqj,IfcDoor,2.902,0.245999999,2.162000012,12.53887856,0.804874549,0.059765163,209.802467,13.46728619,0.321440023276502,246,2
3a36cxjXjC3AZGQEMuUogn,IfcDoor,2.19,0.32,2.8,14.1436,0.622773922,0.30074,47.02932766,2.070805088,0.319676540321469,247,2
3FnkWAk$b6d8JHuyZoeTOa,IfcDoor,0.32,1.085,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018,0.314302000413111,248,2
1s1jVhK8z0pgKYcr9jt7AB,IfcDoor,1.165,0.667,2.696,6.9415335,0.383801683,0.06214232,111.7038027,6.176172381,0.310918559585035,249,2
35QeWibpT4DfyH3NIf2njx,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.31048371687124,250,2
1byTDaqS91rBnWJlv$n$ds,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.307396840138508,251,2
35QeWibpT4DfyH3NIf2nds,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.307072377264266,252,2
0mxk1RW8H5mvX1dNnpRqy_,IfcDoor,0.517,2.182,2.41,10.965036,0.574538948,0.22291622,49.1890451,2.577376144,0.305270602320173,253,2
1xfLwxrwjApBA8tbFmG1Ga,IfcDoor,0.32,1.085,2.33,6.2534,0.290543469,0.1240225,50.4214961,2.342667414,0.295467711613248,254,2
2aqH9Vitj7cAcHTfyIzO8z,IfcDoor,1.085,0.32,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018,0.295312538401302,255,2
0otfaO0qPDAhynjJ6DnLXx,IfcDoor,0.32065,2,2.525,8.760214803,0.518645849,0.080042463,109.4445931,6.479633792,0.294304017355964,256,2
35QeWibpT4DfyH3NIf2nHB,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.291470684371159,257,2
35QeWibpT4DfyH3NIf2nXy,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.289157144353187,258,2
1aj$VJZFn2TxepZUBcKpac,IfcDoor,1.114,0.374,2.308,5.400468,0.265980739,0.097883984,55.17213112,2.717306024,0.285687908017685,259,2
2b9an2$8n5XB5eK3hCqj$A,IfcDoor,1.21,0.32,2.8,8.2634,0.329471078,0.16746,49.34551535,1.967461349,0.285318011803192,260,2
1byTDaqS91rBnWJlv$nmhs,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.282239824184663,261,2
3diCC$3KrF5BxpxbSkFSfr,IfcDoor,2.19,0.32,2.72,13.7388,0.622670396,0.29182,47.07970667,2.133748187,0.279886321557039,262,2
1byTDaqS91rBnWJlv$nnv2,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.279623399516814,263,2
35QeWibpT4DfyH3NIf2nDz,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.272360576184232,264,2
35QeWibpT4DfyH3NIf2nA4,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.265573918246493,265,2
1byTDaqS91rBnWJlv$nmKL,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.262548383250335,266,2
1byTDaqS91rBnWJlv$nmyn,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.261254584680229,267,2
35QeWibpT4DfyH3NIf2oil,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.260322670376342,268,2
2Rr9aHsaTBoOdJEFsV5Emh,IfcDoor,1.21,0.32,2.8,8.2634,0.329471078,0.16746,49.34551535,1.967461349,0.259130729843192,269,2
35QeWibpT4DfyH3NIf2oNd,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.256748019576308,270,2
35QeWibpT4DfyH3NIf2mS8,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.256125576763072,271,2
0ztdC3L1HAzhbhMHypqcDa,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.252554224252576,272,2
2bSdioeDr6uRkuYwLXEqdi,IfcDoor,0.32,1.085,2.8,7.5459,0.290976641,0.15046,50.15219992,1.933913606,0.247702790616507,273,2
35QeWibpT4DfyH3NIf2nuL,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.237045765472201,274,2
1GKhgeI0L248Ux1R1kFb4L,IfcDoor,0.32,1.085,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018,0.230490410032373,275,2
2H9Xpd9Nf1Uu7_jFnBZWSx,IfcDoor,0.517,2.182,2.41,10.965036,0.574538948,0.22291622,49.1890451,2.577376144,0.230160744425151,276,2
35QeWibpT4DfyH3NIf2n92,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.224600240441166,277,2
1byTDaqS91rBnWJlv$n$5v,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.22438316952055,278,2
3qpE7fVkr8dRZ2wfCc6tw0,IfcDoor,0.225,1.065,1.7,2.71325,0.24980826,0.0324375,83.64547206,7.701218029,0.224367879233681,279,2
1byTDaqS91rBnWJlv$nnu8,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.222664398637257,280,2
35QeWibpT4DfyH3NIf2oAY,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.22201126696461,281,2
1byTDaqS91rBnWJlv$n$uh,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.221000569948849,282,2
35QeWibpT4DfyH3NIf2nez,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.218423616646635,283,2
35QeWibpT4DfyH3NIf2nqk,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.210756284013997,284,2
1byTDaqS91rBnWJlv$nmrp,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.20972796562538,285,2
35QeWibpT4DfyH3NIf2n3I,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.206326412800534,286,2
35QeWibpT4DfyH3NIf2nf$,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.198643703876036,287,2
1byTDaqS91rBnWJlv$nm7E,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.192100556096589,288,2
35QeWibpT4DfyH3NIf2mJK,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.190124682996038,289,2
1YVkpHqzT97Ai1czAQ6ipG,IfcDoor,2.19,0.32,2.72,13.7388,0.622670396,0.29182,47.07970667,2.133748187,0.189505271205967,290,2
35QeWibpT4DfyH3NIf2oNE,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.187110401923482,291,2
1byTDaqS91rBnWJlv$n$pH,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.18568453128093,292,2
1byTDaqS91rBnWJlv$n$Qk,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.180532666100006,293,2
1byTDaqS91rBnWJlv$nmGk,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.179855037382558,294,2
1byTDaqS91rBnWJlv$nmWh,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.17927463986602,295,2
1byTDaqS91rBnWJlv$n$0M,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.176815361968952,296,2
028xLqEaXFswQeqzIF0BPt,IfcDoor,1.085,0.32,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018,0.172970466607376,297,2
35QeWibpT4DfyH3NIf2oC0,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.172021951015486,298,2
1byTDaqS91rBnWJlv$n$P5,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.166557793909534,299,2
3T5uQCw_91vwRNf6YbqNPs,IfcDoor,1.085,0.32,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018,0.165129988715962,300,2
1gI9yvoGTDdAVuJ6X4le$S,IfcDoor,2.19,0.32,2.8,14.1436,0.622773922,0.30074,47.02932766,2.070805088,0.164208094138652,301,2
2HSERXhNLEzu4p5VeFtKD0,IfcDoor,2.19,0.32,2.8,14.1436,0.622773922,0.30074,47.02932766,2.070805088,0.162902062716879,302,2
0RLwbjSzj0u9QH55sCnSRT,IfcDoor,2.19,0.32,2.72,13.7388,0.622670396,0.29182,47.07970667,2.133748187,0.160478135361172,303,2
2xmbPKpzD9oOgks5iF477B,IfcDoor,1.085,0.32,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018,0.154976648977763,304,2
1HKMGvC6H7s9ju$PIo1LSA,IfcDoor,0.32,1.085,2.8,7.5459,0.290976641,0.15046,50.15219992,1.933913606,0.15496121072802,305,2
10lgo1CAH268c71AJ77BCo,IfcDoor,2.19,0.32,2.72,13.7388,0.622670396,0.29182,47.07970667,2.133748187,0.153721307804564,306,2
35QeWibpT4DfyH3NIf2nsN,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.153505795057631,307,2
1byTDaqS91rBnWJlv$n$rP,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.141615459130823,308,2
2cz_Oqyof4R8qhyckBhTrP,IfcDoor,1.085,0.32,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018,0.138269827443723,309,2
1byTDaqS91rBnWJlv$nnRu,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.133223643698161,310,2
1byTDaqS91rBnWJlv$nmmF,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.129902964074541,311,2
1byTDaqS91rBnWJlv$nn82,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.128559851639274,312,2
1byTDaqS91rBnWJlv$nmuz,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.115918991964384,313,2
35QeWibpT4DfyH3NIf2o3X,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.114361900978831,314,2
2OBrcmyk58NupXoVOHUvR4,IfcDoor,0.374,1.216,2.308,5.866608,0.294963595,0.108842048,53.90019857,2.710015116,0.107818892156701,315,2
0mxk1RW8H5mvX1dNnpRqwu,IfcDoor,0.517,2.182,2.41,10.965036,0.574538948,0.22291622,49.1890451,2.577376144,0.105555320843211,316,2
1byTDaqS91rBnWJlv$nm9g,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.0973006648988687,317,2
22bw8OaqT6pRZaE9J6tOrv,IfcDoor,1.21,0.32,2.8,8.2634,0.329471078,0.16746,49.34551535,1.967461349,0.0967677429916688,318,2
1byTDaqS91rBnWJlv$nnfS,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.0897751828896888,319,2
1byTDaqS91rBnWJlv$nnIo,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.0882536496320743,320,2
1wZDK8HB1B09_nTKprvePI,IfcDoor,2.19,0.32,2.72,13.7388,0.622670396,0.29182,47.07970667,2.133748187,0.085664064396902,321,2
1byTDaqS91rBnWJlv$nn0o,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.085596566163224,322,2
1byTDaqS91rBnWJlv$nm6r,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.0840677071990141,323,2
35QeWibpT4DfyH3NIf2mR5,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.0789262112455852,324,2
35QeWibpT4DfyH3NIf2oXS,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.0764154239596054,325,2
35QeWibpT4DfyH3NIf2mTr,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.0724975639686713,326,2
23DXFXeer4rere3ElgJ8V3,IfcDoor,1.085,0.32,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018,0.068685412429592,327,2
1uDBQ9y7vCyxXlpVEuen9f,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.0681318348965952,328,2
0E5tNCLuvCp8998ErqD0r5,IfcDoor,1.085,0.32,2.33,6.2534,0.290543469,0.1240225,50.4214961,2.342667414,0.0677120375196417,329,2
0wJLcGCZvB7hg$Ajh8TeET,IfcDoor,0.32,1.085,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018,0.0670302196530952,330,2
2S7INY8Q12AeF7WgGL29F9,IfcDoor,1.085,0.32,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018,0.065653865147092,331,2
35QeWibpT4DfyH3NIf2nKz,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.0647536972948142,332,2
0bb0DZ5jn9dusOmNyFZF9k,IfcDoor,1.085,0.32,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018,0.0635758532719066,333,2
35QeWibpT4DfyH3NIf2nRq,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.0603761894355527,334,2
257BDFGvb67Bu1YenmZ9KK,IfcDoor,1.21,0.32,2.8,8.2634,0.329471078,0.16746,49.34551535,1.967461349,0.0600858281203435,335,2
1byTDaqS91rBnWJlv$n$jF,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.0584077904498216,336,2
1eHJakbVPEdf9cGdMXVBAY,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.0581513626869759,337,2
2QLOzP_31268tes8C3jTIs,IfcDoor,0.32,1.085,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018,0.0518529930600695,338,2
35QeWibpT4DfyH3NIf2nxi,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.0488201357584169,339,2
3y19XtkpDEw9A6kXlObgTV,IfcDoor,0.32,1.085,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018,0.0450543561025228,340,2
