X,Y,Z,areas,ax1s,ax2s,global_ids,gyrations,types,volumes,Outlier
2.289,5.748,0.219,14.711942,107.3813495,12.14410922,2OBrcmyk58NupXoVOHUt5W,1.663821803,IfcSlab,0.137006492,1
2.7,2.2,0.3,10.9,21.8,1.848422751,0Iv7Z2HBT5FOzKWPhtU42V,0.924211376,IfcSlab,0.5,1
3.908,6.449,0.219,44.46483,106.1665644,4.853270195,2OBrcmyk58NupXoVOHUt8F,2.032653457,IfcSlab,0.418821408,1
2.45,0.45,0.3,1.625,28.88888889,11.61806455,0Xq84doDT4bhudPNm8GcHM,0.653516131,IfcSlab,0.05625,1
3.908,6.449,0.219,44.46483,106.1665644,4.853270195,2OBrcmyk58NupXoVOHUtC0,2.032653457,IfcSlab,0.418821408,1
2.45,0.45,0.3,1.625,28.88888889,11.61806455,2cTeoFZTf6xf4ve1Sgpl1t,0.653516131,IfcSlab,0.05625,1
7.675,7.38,0.61,119.3581,5.424158841,0.135971746,3e3tYgh$TDDgtUPYoHkfWp,2.992045357,IfcSlab,22.004905,1
7.675,7.38,0.61,119.3581,5.424158841,0.135971746,1vWvhwodz6kO57L1qYq7Pq,2.992045357,IfcSlab,22.004905,1
7.675,7.38,0.38,106.4208,11.8552384,0.325524467,0erXUP2Jv3o90g3rVxo2Sp,2.922132226,IfcSlab,8.97669,1
1.35,2.486000166,0.25,5.601400398,42.61402101,5.619911171,04RQcjHB5Dgx411vE8P8XP,0.738709277,IfcSlab,0.13144501,1
2.45,0.45,0.3,1.625,28.88888889,11.61806455,0y7GJzNMrAXRHmtLxG6dFE,0.653516131,IfcSlab,0.05625,1
7.675,7.38,0.38,106.4208,11.8552384,0.325524375,0fwijrbxHF$OUAhL_DoXl9,2.922131401,IfcSlab,8.97669,1
1.724,4.36,0.213,12.827464,155.639259,15.51771241,2OBrcmyk58NupXoVOHUt0F,1.27893758,IfcSlab,0.08241792,1
8.166,9.508,0.327,134.200452,16.28030543,0.409442042,2O2Fr$t4X7Zf8NOew3FKcz,3.375078396,IfcSlab,8.243116356,1
3.908,17.166,0.505,131.9035192,7.288778684,0.283987351,1hOSvn6df7F8_7GcBWlRrM,5.139260314,IfcSlab,18.09679302,1
2.45,0.45,0.3,1.625,28.88888889,11.61806455,1GtTrf_lf4ChsZ$SM9tpJX,0.653516131,IfcSlab,0.05625,1
7.675,7.38,0.38,106.4208,11.8552384,0.325524375,00U97nJ51ADu9Un2R0RJbi,2.922131401,IfcSlab,8.97669,1
2.45,0.45,0.3,1.625,28.88888889,11.61806455,3NWz$p07HBHhRS5TfXCFuq,0.653516131,IfcSlab,0.05625,1
