,X,Y,Z,areas,ax1s,ax2s,global_ids,gyrations,types,volumes
42,7.675,7.38,0.38,106.4208,11.8552384008,0.325524466811,0erXUP2Jv3o90g3rVxo2Sp,2.92213222597,IfcSlab,8.97669
43,7.675,7.38,0.38,106.4208,11.8552384008,0.325524466811,1wm0wknPj1lQYtyTvGxDI0,2.92213222597,IfcSlab,8.97669
44,7.675,7.38,0.38,106.4208,11.8552384008,0.325524466811,33RCWHsGj7kvpWT5pcQpxV,2.92213222597,IfcSlab,8.97669
45,7.675,7.38,0.38,106.4208,11.8552384008,0.325524374948,0fwijrbxHF$OUAhL_DoXl9,2.92213140135,IfcSlab,8.97669
46,7.675,7.38,0.38,106.4208,11.8552384008,0.325524374948,00U97nJ51ADu9Un2R0RJbi,2.92213140135,IfcSlab,8.97669
47,7.675,7.38,0.38,106.4208,11.8552384008,0.325524374948,3gxEUcQPP23QLc7sJ27bfx,2.92213140135,IfcSlab,8.97669
48,7.675,7.38,0.38,106.4208,11.8552384008,0.325524374948,0xsG2MKUfDj969xhpJiyYH,2.92213140135,IfcSlab,8.97669
49,7.675,7.38,0.38,106.4208,11.8552384008,0.325524374948,0lkGbfCQn2k97dXiG8ko7K,2.92213140135,IfcSlab,8.97669
50,7.675,7.38,0.38,106.4208,11.8552384008,0.325524374948,14C1RhPQ92nQUKvdg5fGjj,2.92213140135,IfcSlab,8.97669
51,7.675,7.38,0.61,119.3581,5.42415884095,0.13597174615,0TDye8xYn3kgd3hFqcneWJ,2.99204535672,IfcSlab,22.004905
52,7.675,7.38,0.38,106.4208,11.8552384008,0.325524374948,1Mcb7tHkLBAuI0wwXjNdwi,2.92213140135,IfcSlab,8.97669
53,7.675,7.38,0.61,119.3581,5.42415884095,0.13597174615,1vWvhwodz6kO57L1qYq7Pq,2.99204535672,IfcSlab,22.004905
54,7.675,7.38,0.38,106.4208,11.8552384008,0.325524374948,3L1OWOnoz4Ie$NycZm5Oz7,2.92213140135,IfcSlab,8.97669
55,7.675,7.38,0.61,119.3581,5.42415884095,0.13597174615,3LvCR8tPr4Ew7wZXSMele6,2.99204535672,IfcSlab,22.004905
56,7.675,7.38,0.38,106.4208,11.8552384008,0.325524374948,0Gq_aKB011lg32BgJmYqkx,2.92213140135,IfcSlab,8.97669
57,7.675,7.38,0.61,119.3581,5.42415884095,0.13597174615,3e3tYgh$TDDgtUPYoHkfWp,2.99204535672,IfcSlab,22.004905
58,7.675,7.38,0.38,106.4208,11.8552384008,0.325524374948,0LSkmVeEz8$OhFjqm4WfI0,2.92213140135,IfcSlab,8.97669
59,7.675,7.38,0.61,119.3581,5.42415884095,0.13597174615,3ej1GP$WL4eQZ6cZ35x41z,2.99204535672,IfcSlab,22.004905
