,X,Y,Z,areas,ax1s,ax2s,global_ids,gyrations,types,volumes
40,0.617,17.166,0.809,35.322138,8.198118144,1.137069917,0jf0rYHfX3RAB3bSIRjmr1,4.899141464,IfcWallStandardCase,4.308566598
41,4.4005,0.635,1.45,15.243185,6.673834943,0.533736005,2O2Fr$t4X7Zf8NOew3FK3E,1.219064712,IfcWallStandardCase,2.284021875
42,9,0.617,1.45,30.3817,6.623435797,0.554434644,2O2Fr$t4X7Zf8NOew3FK80,2.543191712,IfcWallStandardCase,4.587
43,8.583,0.617,1.45,28.991422,6.634741144,0.554497967,2O2Fr$t4X7Zf8NOew3FKEr,2.422955805,IfcWallStandardCase,4.36963875
44,4.4005,0.635,1.45,15.243185,6.673834943,0.533736005,2O2Fr$t4X7Zf8NOew3FK04,1.219064712,IfcWallStandardCase,2.284021875
45,0.324,3.675,0.688,4.374424,20.80293248,4.773579826,1aj$VJZFn2TxepZUBcKpee,1.003784547,IfcWallStandardCase,0.2102792
46,0.254,1.3351,0.488,0.8075124,45.74344078,18.58292258,3Y4YRln2r91vflHcHE5ITm,0.32804573,IfcWallStandardCase,0.017653075
47,0.254,1.3351,0.488,0.8075124,45.74344078,18.58292258,3Y4YRln2r91vflHcHE5ITs,0.32804573,IfcWallStandardCase,0.017653075
48,1.2831,0.254,0.488,0.7719444,45.82803305,18.58498542,3Y4YRln2r91vflHcHE5IVS,0.313052393,IfcWallStandardCase,0.016844371
49,0.324,3.675,0.688,4.374424,20.80293248,4.773579826,1aj$VJZFn2TxepZUBcKphf,1.003784547,IfcWallStandardCase,0.2102792
50,1.2831,0.254,0.488,0.7719444,45.82803305,18.58498542,3Y4YRln2r91vflHcHE5ITn,0.313052393,IfcWallStandardCase,0.016844371
51,0.75,2.4,2.995,18.05356,6.320808638,0.236016468,2O2Fr$t4X7Zf8NOew3FKRH,0.674112713,IfcWallStandardCase,2.8562105
52,1.2831,0.254,0.488,0.7719444,45.82803305,18.58498542,3Y4YRln2r91vflHcHE5IVI,0.313052393,IfcWallStandardCase,0.016844371
53,0.254,1.3351,0.488,0.8075124,45.74344078,18.58292258,3Y4YRln2r91vflHcHE5IVJ,0.32804573,IfcWallStandardCase,0.017653075
54,0.254,1.3351,0.488,0.8075124,45.74344078,18.58292258,3Y4YRln2r91vflHcHE5IVT,0.32804573,IfcWallStandardCase,0.017653075
55,1.2831,0.254,0.488,0.7719444,45.82803305,18.58498542,3Y4YRln2r91vflHcHE5ITp,0.313052393,IfcWallStandardCase,0.016844371
56,9,0.617,0.809,18.565506,8.307508046,1.138002143,0jf0rYHfX3RAB3bSIRjmmy,2.543191712,IfcWallStandardCase,2.2347864
