X,Y,Z,areas,ax1s,ax2s,global_ids,gyrations,types,volumes,Rand,Rank,Train
1.2,0.467,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6DmgIr,0.391513745,IfcWindow,0.068159298,0.135594666949507,107,Train
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6DmgC_,0.391513745,IfcWindow,0.068159298,0.129573628419127,109,Train
1.21,0.32,2.72,7.4454,97.8344853,5.056433428,02GplZAdX7FBhqgUmA_SiB,0.384804697,IfcWindow,0.076102,0.161044062989101,103,Train
1.415,0.32,1.2,3.8645,89.7156123,9.943708747,2nmF4SfA53HwOUqio8eC6P,0.428325254,IfcWindow,0.043075,0.280324225321715,86,Train
0.467,1.2,1.935,7.183156,105.3877638,5.744098844,0otfaO0qPDAhynjJ6DmgEk,0.391513745,IfcWindow,0.068159298,0.133990908403061,108,Train
1.415,0.32,1.68,5.3669,95.65473114,7.879142714,25Lx$wIdHFAhVEMjnrwrs9,0.44207506,IfcWindow,0.056107,0.82840756459429,21,Train
0.95,0.32,1.18,2.565,82.74193548,8.819128958,2cw31c83rEwwUQAXLrLyoi,0.273392998,IfcWindow,0.031,0.326765806860347,77,Train
1.2,0.467,1.935,7.183156,105.3877638,5.744098844,0otfaO0qPDAhynjJ6Dmg8s,0.391513745,IfcWindow,0.068159298,0.0493314860824596,113,Train
0.617,0.95,2.4,9.044896,91.66438576,3.369756947,1l0GAJtRTFv8$zmKJOH4ZZ,0.332507559,IfcWindow,0.098674048,0.456168503961568,60,Train
1.2,0.32,0.825,2.2715,80.19417476,12.07863481,2w0JgsbVrF_h9NIy9zJqq2,0.342127331,IfcWindow,0.028325,0.443680496515519,62,Train
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,2g$QZpOGbBUxSNx_ZgxJs2,0.391513745,IfcWindow,0.068159298,0.0411273350847849,118,Train
0.95,0.32,0.825,1.784,77.52308528,11.38443565,3B42tgnPT4YPguPNio8Neo,0.261984325,IfcWindow,0.0230125,0.198139689015616,95,Train
