X,Y,Z,areas,ax1s,ax2s,global_ids,gyrations,types,volumes,Outlier
0.95,0.32,1.18,2.565,82.74193548,8.819128958,2cw31c83rEwwUQAXLrLyoi,0.273392998,IfcWindow,0.031,1
1.2,0.467,1.935,7.183156,105.3877638,5.744098844,0otfaO0qPDAhynjJ6Dmg8s,0.391513745,IfcWindow,0.068159298,1
0.617,0.95,2.4,9.044896,91.66438576,3.369756947,1l0GAJtRTFv8$zmKJOH4ZZ,0.332507559,IfcWindow,0.098674048,1
1.2,0.32,0.825,2.2715,80.19417476,12.07863481,2w0JgsbVrF_h9NIy9zJqq2,0.342127331,IfcWindow,0.028325,1
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,2g$QZpOGbBUxSNx_ZgxJs2,0.391513745,IfcWindow,0.068159298,1
0.95,0.32,0.825,1.784,77.52308528,11.38443565,3B42tgnPT4YPguPNio8Neo,0.261984325,IfcWindow,0.0230125,1
1.2,0.467,1.935,7.183156,105.3877638,5.744098845,2g$QZpOGbBUxSNx_ZgxJsp,0.391513745,IfcWindow,0.068159298,1
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6DmgMW,0.391513745,IfcWindow,0.068159298,1
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,2g$QZpOGbBUxSNx_ZgxJps,0.391513745,IfcWindow,0.068159298,1
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6Dmg3B,0.391513745,IfcWindow,0.068159298,1
0.95,0.32,1.18,2.565,82.74193548,8.819128958,3FQVPSydHDKO1C1ghFW_N5,0.273392998,IfcWindow,0.031,1
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,2g$QZpOGbBUxSNx_ZgxG1w,0.391513745,IfcWindow,0.068159298,1
1.2,0.467,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6Dmgfp,0.391513745,IfcWindow,0.068159298,1
1.21,0.32,2.72,7.4454,97.8344853,5.056433428,0_QRrhjHj50x3FYdiDDmEV,0.384804697,IfcWindow,0.076102,1
1.2,0.467,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6Dmg2W,0.391513745,IfcWindow,0.068159298,1
1.2,0.467,1.935,7.183156,105.3877638,5.744098845,2g$QZpOGbBUxSNx_ZgxG8P,0.391513745,IfcWindow,0.068159298,1
1.2,0.467,1.935,7.183156,105.3877638,5.744098844,0otfaO0qPDAhynjJ6DmgWH,0.391513745,IfcWindow,0.068159298,1
0.95,0.32,0.825,1.784,77.52308528,11.38443565,1e8IKHqkbCER6lN5_kMoH5,0.261984325,IfcWindow,0.0230125,1
1.415,0.32,1.2,3.8645,89.7156123,9.943708747,3DH59LoNP1tQ_TY_i4PqcO,0.428325254,IfcWindow,0.043075,1
1.21,0.32,2.72,7.4454,97.8344853,5.056433428,376s9IwDr1o89AU3LdwJtO,0.384804697,IfcWindow,0.076102,1
0.617,0.95,2.4,9.044896,91.66438576,3.369756947,1l0GAJtRTFv8$zmKJOH4aS,0.332507559,IfcWindow,0.098674048,1
1.019,0.617,0.959,4.249626,87.21299781,6.78922304,1hOSvn6df7F8_7GcBWlSga,0.330818335,IfcWindow,0.04872698,1
0.95,0.32,1.18,2.565,82.74193548,8.819128958,1ecjPdXmv1k8mMW9IVwviV,0.273392998,IfcWindow,0.031,1
0.617,3,2.61,23.751856,107.0884353,4.57987981,1l0GAJtRTFv8$zmKJOH4$e,1.01580199,IfcWindow,0.221796648,1
1.2,0.32,0.825,2.2715,80.19417476,12.07863481,1ZAn9yRZj7EAVstuwcZV7M,0.342127331,IfcWindow,0.028325,1
1.372537683,1.424537683,0.3778,5.458225014,129.9602663,14.54103308,1Eo2$BaHX42AEkDvQQDocD,0.61071151,IfcWindow,0.041999183,1
