X,Y,Z,areas,ax1s,ax2s,global_ids,gyrations,types,volumes,Train
0.43,0.254,4.778,2.625144,46.16956121,1.199475407,2d8HbdSu9Fr9Na0iagzNeV,0.068200684,IfcWallStandardCase,0.05685876,train
0.324,3.632,4.778,33.409872,17.14865484,0.508856335,3NhaIUfh12PAdrGa$S3xln,0.99137951,IfcWallStandardCase,1.948250304,train
0.543,0.254,4.778,3.671976,43.30481282,1.182105761,2d8HbdSu9Fr9Na0iagzeyJ,0.10023514,IfcWallStandardCase,0.084793716,train
3.862,0.324,4.668,34.739872,17.12280948,0.521342779,3Egy$LBd99weR14rW4bpCq,1.057734214,IfcWallStandardCase,2.028865184,train
4.4005,0.635,1.45,15.243185,6.673834943,0.533736005,2O2Fr$t4X7Zf8NOew3FK04,1.219064712,IfcWallStandardCase,2.284021875,train
0.254,0.660992427,4.778,4.765057844,41.8123751,1.175707115,2d8HbdSu9Fr9Na0iagzedd,0.133986945,IfcWallStandardCase,0.11396286,train
0.876,0.254,4.88,6.905808,40.42296735,1.145911283,2d8HbdSu9Fr9Na0iagzLCq,0.195766017,IfcWallStandardCase,0.17083872,train
0.307,0.254,2.7,0.816556,56.52862582,2.39521579,0tIhQ6hmz02e5gznEed4cs,0.034598892,IfcWallStandardCase,0.014445,train
1.013123363,0.324,4.778,8.434045545,19.78004148,0.518795401,3Egy$LBd99weR14rW4bt02,0.221210054,IfcWallStandardCase,0.426391702,train
0.254,0.56,4.668,3.738384,43.04022017,1.209857194,1uDBQ9y7vCyxXlpVEuen1x,0.105085679,IfcWallStandardCase,0.08685792,train
1.3252,0.254,4.668,10.6588528,39.2621264,1.197848814,1uDBQ9y7vCyxXlpVEuentK,0.325191103,IfcWallStandardCase,0.271479254,train
0.324,0.658951851,4.668,5.323077796,20.93441544,0.539726722,3LbNSBzHHBSuzhUUvuwFJB,0.137238479,IfcWallStandardCase,0.254274012,train
4.21,0.368,4.668,38.681968,12.8511426,0.384917571,3Egy$LBd99weR14rW4bmD_,1.15860275,IfcWallStandardCase,3.01000224,train
2.743998865,0.324,4.778,25.05910933,17.35206813,0.509128243,3Egy$LBd99weR14rW4bsF6,0.735261077,IfcWallStandardCase,1.444156924,train
0.489,0.254,4.668,3.09626,44.40507984,1.217179005,3pms57Ad5AVAb74jf4yKli,0.084870981,IfcWallStandardCase,0.069727608,train
0.324,1.466,4.668,12.735008,18.15643866,0.5235375,3Egy$LBd99weR14rW4brCk,0.367211565,IfcWallStandardCase,0.701404512,train
0.254,4.736,4.668,41.502348,38.21701216,1.19677486,3pms57Ad5AVAb74jf4yKsy,1.299655937,IfcWallStandardCase,1.085965272,train
0.254,0.659998071,3.2,3.133668219,42.05154802,1.794181609,0tIhQ6hmz02e5gznEed55_,0.133701853,IfcWallStandardCase,0.074519688,train
0.324,4.122,4.668,37.127712,17.08660374,0.521304508,3LbNSBzHHBSuzhUUvuwC5I,1.132749605,IfcWallStandardCase,2.172913504,train
1.165,0.254,4.668,9.210004,39.55720347,1.198343588,1qc5HjZvrCsga38tqxQ3FB,0.279007318,IfcWallStandardCase,0.23282748,train
9,0.617,3.1,50.10080892,7.653654752,0.334191548,2O2Fr$t4X7Zf8NOew3FLOH,2.187617212,IfcWallStandardCase,6.545998029,train
0.254,0.8675,4.668,6.519414,40.48091929,1.200380607,1uDBQ9y7vCyxXlpVEuenKk,0.193320168,IfcWallStandardCase,0.16104906,train
0.324,5.281561983,4.778,48.92235289,16.95948403,0.508675905,3Egy$LBd99weR14rW4beoS,1.467357267,IfcWallStandardCase,2.884660454,train
7.375,0.375,2.72,31.98781631,13.49124793,0.996844357,1UFJzY4iHBuAc6DpK5_VXe,2.363522954,IfcWallStandardCase,2.371005,train
0.343,1.086,1.0785,2.061349,18.51995818,2.327639919,2j55VthSj3Lu0J6fyrpGuc,0.259076083,IfcWallStandardCase,0.111304193,train
0.482,0.254,4.668,3.032952,44.57686319,1.218210493,0bk1ZfURb7DB4FOIglu8$o,0.082885463,IfcWallStandardCase,0.068038704,train
0.376,0.254,3.2,1.399008,49.06734007,1.863932983,0tIhQ6hmz02e5gznEed4nP,0.053144457,IfcWallStandardCase,0.028512,train
0.324,1.9145,4.668,16.854032,17.74318068,0.522405116,2j55VthSj3Lu0J6fyrpKrI,0.49622628,IfcWallStandardCase,0.949887864,train
0.254,0.606,4.778,4.255608,42.40001741,1.178006396,2d8HbdSu9Fr9Na0iagzNfZ,0.118234231,IfcWallStandardCase,0.100368072,train
0.324,3.52456129,4.778,32.39951837,17.16748739,0.50887812,3Egy$LBd99weR14rW4bt$Z,0.960385503,IfcWallStandardCase,1.887260356,train
